"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"AIF1",-0.896954635075436,0.896954635075437,0.382596591992613,0.382596591992613,0.800139615780116,0.800139615780117,-0.19276534013405,0.19276534013405,"ENSG00000204472","AIF1"
"AJ009632.2",0.756489903621771,-0.756489903621771,0.459982093580051,0.459982093580051,0.830402747903479,0.830402747903476,0.129952873748283,-0.129952873748282,"ENSG00000229425","AJ009632.2"
"AK5",1.2963239257567,-1.2963239257567,0.212637186890619,0.21263718689062,0.749216482183815,0.749216482183814,0.136562694417178,-0.136562694417178,"ENSG00000154027","AK5"
"AKAP8L",1.10602206413307,-1.10602206413307,0.284524758622393,0.284524758622393,0.797732968100167,0.797732968100167,0.135097090785924,-0.135097090785925,"ENSG00000011243","AKAP8L"
"AKT1",-0.326914707001727,0.326914707001726,0.74782779696891,0.74782779696891,0.921773438957594,0.921773438957594,-0.023693426849218,0.023693426849218,"ENSG00000142208","AKT1"
"ALCAM",0.929730519518458,-0.929730519518457,0.365864820506781,0.365864820506781,0.800139615780116,0.800139615780117,0.106541563233414,-0.106541563233413,"ENSG00000170017","ALCAM"
"ALDH1A1",0.901427089566601,-0.901427089566599,0.38028366575607,0.380283665756071,0.800139615780116,0.800139615780117,0.198221802494453,-0.198221802494453,"ENSG00000165092","ALDH1A1"
"ALOX5AP",-0.502928318220667,0.502928318220668,0.621636855121563,0.621636855121562,0.879674794983343,0.879674794983343,-0.108217200478078,0.108217200478078,"ENSG00000132965","ALOX5AP"
"ANLN",1.92773799113577,-1.92773799113577,0.0712160671620185,0.0712160671620188,0.62353320550135,0.623533205501349,0.354682418298412,-0.354682418298412,"ENSG00000011426","ANLN"
"APOLD1",-1.2707784567686,1.2707784567686,0.221368158171038,0.221368158171038,0.749216482183815,0.749216482183814,-0.113420484929396,0.113420484929396,"ENSG00000178878","APOLD1"
"AQP1",0.860028650227798,-0.860028650227798,0.402051611573983,0.402051611573983,0.809499889075134,0.809499889075134,0.0979241028462924,-0.0979241028462925,"ENSG00000240583","AQP1"
"AQP4",-1.60184748359918,1.60184748359918,0.128088953934368,0.128088953934368,0.701756464676482,0.701756464676482,-0.16186495139993,0.16186495139993,"ENSG00000171885","AQP4"
"ARPC1B",0.912649226170989,-0.912649226170989,0.374521566140427,0.374521566140427,0.800139615780116,0.800139615780117,0.100246308998819,-0.10024630899882,"ENSG00000130429","ARPC1B"
"ARPP19",2.4128227781344,-2.41282277813439,0.027737112583404,0.027737112583404,0.416706973730861,0.416706973730862,0.416217345628991,-0.416217345628991,"ENSG00000128989","ARPP19"
"ARRDC3",-0.750695581086748,0.750695581086748,0.463369118857673,0.463369118857673,0.830402747903479,0.830402747903476,-0.0964608534725636,0.0964608534725637,"ENSG00000113369","ARRDC3"
"ATP2B4",-0.804368556624443,0.804368556624442,0.432579545060532,0.432579545060532,0.826585117950061,0.826585117950062,-0.063037280211345,0.0630372802113449,"ENSG00000058668","ATP2B4"
